ID;x;y
Padre_S01;601340.272;8538747.466
Padre_S02;601251.881;8538656.441
Padre_S03;601221.717;8538690.082
Padre_S04;601221.537;8538641.662
Padre_S05;601203.14;8538690.608
Padre_S06;601178.388;8538734.07
Padre_S07;601152.584;8538747.186
Padre_S08;601130.282;8538761.377
Padre_S09;601103.704;8538761.127
Padre_S10;601116.561;8538730.948
Padre_S11;601086.371;8538734.891
Padre_S12;601230.312;8538604.449
Padre_S13;601303.697;8538591.352
Padre_S14;601374.015;8538714.462
Padre_S15;601474.945;8538783.069
Padre_S16;601538.091;8538812.239
Padre_S17;601609.421;8538829.218
Padre_S18;601664.935;8538844.709
Padre_S19;601736.224;8538893.968
Padre_S20;601917.558;8538928.664
Padre_S21;601958.258;8538979.807
Padre_S22;599508.207;8538250.203
Padre_S23;599458.637;8538259.671
Padre_S24;599456.566;8538285.547
Padre_S25;599427.918;8538256.024
Padre_S26;599365.946;8538235.689
Padre_S27;599337.947;8538220.315
Padre_S28;599220.001;8538160.828
Padre_S29;599141.451;8538123.75
Padre_S30;599064.023;8538082.466
Padre_S31;598876.448;8537996.037
Padre_S32;598741.214;8537955.938
Padre_S33;598665.625;8537947.277
Padre_S34;598702.122;8538038.681
Padre_S35;598607.865;8538067.657
Padre_S36;598580.57;8538047.269
Padre_S37;598464.58;8537989.025
Padre_S38;598646.669;8538026.245
Padre_S39;598710.429;8538007.735
Padre_S40;598931.649;8538054.619
Padre_S41;598984.934;8538081.636
Padre_S42;602850.193;8539534.51
Padre_S43;602855.874;8539519.015
Padre_S44;602850.058;8539499.057
Padre_S45;602837.951;8539489.188
Padre_S46;602827.993;8539541.354
Padre_S47;602807.778;8539527.911
Padre_S48;598598.958;8537910.417
Padre_S49;598605.222;8537852.107
Padre_S50;598639.669;8537773.264
Padre_S51;598675.207;8537670.832
Padre_S52;598717.539;8537575.134
Padre_S53;598743.387;8537479.196
Escrevida_S01;605391.098;8538621.244
Escrevida_S02;605413.183;8538618.652
Escrevida_S03;605432.812;8538616.071
Escrevida_S04;605459.812;8538614.852
Escrevida_S05;605481.088;8538615.048
Escrevida_S06;605514.252;8538620.766
Escrevida_S07;605540.474;8538630.13
Escrevida_S08;605568.896;8538643.94
Labirinto_S01;608888.874;8538821.124
Labirinto_S02;608899.779;8538819.688
Labirinto_S03;608908.367;8538818.54
Labirinto_S04;608918.32;8538817.944
Labirinto_S05;608927.914;8538812.545
Labirinto_S06;608944.803;8538806.84
Labirinto_S07;608960.592;8538798.981
Boqueirao_S01;597883.072;8537536.073
Boqueirao_S02;597852.415;8537506.116
Boqueirao_S03;597807.564;8537472.868
Boqueirao_S04;597769.296;8537449.62
Boqueirao_S05;597726.663;8537426.387
Boqueirao_S06;597678.369;8537345.824
Boqueirao_S07;597640.547;8537295.29
B_Verde_S01;596850.32;8537350.742
B_Verde_S02;596872.589;8537323.936
B_Verde_S03;596914.535;8537307.638
C_Flor_S01;609125.56;8535885.746
C_Flor_S02;609132.978;8535899.079
C_Flor_S03;609133.169;8535912.721
S_Geraldo_S01;609161.245;8535756.417
S_Geraldo_S02;609172.004;8535752.615
S_Geraldo_S03;609184.543;8535751.033
Tunel2_S01;609400.085;8535921.737
Tunel2_S02;609408.819;8535923.303
Tunel2_S03;609417.149;8535925.984
G_Cruz_S01;600657.636;8528430.619
G_Cruz_S02;600659.121;8528426.578
2Cobras_S01;608382.465;8537675.316
2Cobras_S02;608394.359;8537648.541
Cumbra_S01;601046.674;8529526.729
Cumbra_S02;601044.623;8529525.171
R_Bovina_S01;615976.298;8531867.785
R_Bovina_S02;615980.566;8531861.294
F_Obliqua_S01;600890.625;8528566.988
Tunel1_S01;609348.255;8535883.721
Pajeu_S01;598777.923;8526937.7
Pajeu_S02;598816.578;8526939.437
Pajeu_S03;598855.252;8526946.812
Pajeu_S04;598895.718;8526941.026
Pajeu_S05;598928.865;8526946.541
Leao_S01;601352.153;8539160.767
Leao_S02;601339.045;8539163.752
Leao_S03;601319.378;8539166.409
Leao_S04;601286.338;8539163.01
Grota_S01;587932.965;8561177.191
Grota_S02;587960.192;8561192.138
Grota_S03;587976.868;8561221.212
Salobro_S01;588680.912;8554267.762
Salobro_S02;588680.032;8554280.45
Salobro_S03;588688.119;8554288.88
Cedrao_S01;601039.768;8539056.664
Cedrao_S02;601039.986;8539053.373
Cedrao_S03;601039.85;8539047.736
Cedro_S01;601075.232;8538938.372
Cedro_S02;601068.33;8538939.104
Cedriculo_S01;601045.22;8539068.447
Cinquentona_S01;605266.508;8538663.401
Cinquentona_S02;605268.728;8538671.967
Escrevidinha_S01;605257.997;8538649.692
Cristal_S01;599498.467;8527611.025
